"No.","Time","Source","Destination","Protocol","Length","Flags","Window","Differentiated Services Field","Version","Info"
"1","0.000000000","HeightsTelec_bb:60:dc","Broadcast","0x1ee4","211","","","","","Ethernet II"
"2","0.000571885","10.0.0.6","10.0.0.138","DNS","100","","","0x00","","Standard query 0x9dc3 AAAA connectivity-check.ubuntu.com OPT"
"3","0.031845471","10.0.0.138","10.0.0.6","DNS","500","","","0x00","","Standard query response 0x9dc3 AAAA connectivity-check.ubuntu.com AAAA 2620:2d:4000:1::97 AAAA 2001:67c:1562::24 AAAA 2620:2d:4000:1::23 AAAA 2001:67c:1562::23 AAAA 2620:2d:4000:1::22 AAAA 2620:2d:4000:1::2a AAAA 2620:2d:4000:1::2b AAAA 2620:2d:4000:1::98 AAAA 2620:2d:4002:1::198 AAAA 2620:2d:4002:1::197 AAAA 2620:2d:4000:1::96 AAAA 2620:2d:4002:1::196 NS ns1.canonical.com NS ns3.canonical.com NS ns2.canonical.com OPT"
"4","0.825684426","fe80::e44e:529e:79b2:1f5c","ff02::fb","MDNS","107","","","","","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"5","0.826052417","fe80::e44e:529e:79b2:1f5c","ff02::fb","MDNS","107","","","","","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"6","1.079901497","10.0.0.6","224.0.0.251","MDNS","87","","","0x00","","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"7","1.081607771","10.0.0.6","224.0.0.251","MDNS","87","","","0x00","","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"8","2.444957148","10.0.0.6","10.0.0.138","DNS","106","","","0x00","","Standard query 0xef9f A optimizationguide-pa.googleapis.com OPT"
"9","2.445301249","10.0.0.6","10.0.0.138","DNS","106","","","0x00","","Standard query 0x11c0 HTTPS optimizationguide-pa.googleapis.com OPT"
"10","2.448106698","10.0.0.6","10.0.0.138","DNS","80","","","0x00","","Standard query 0x2b4e A yahoo.com OPT"
"11","2.450227592","10.0.0.6","10.0.0.138","DNS","80","","","0x00","","Standard query 0x4c08 HTTPS yahoo.com OPT"
"12","2.481626195","10.0.0.138","10.0.0.6","DNS","186","","","0x00","","Standard query response 0xef9f A optimizationguide-pa.googleapis.com A 142.250.75.170 A 142.250.75.42 A 142.250.75.74 A 142.250.75.106 A 142.250.75.138 OPT"
"13","2.481899046","10.0.0.138","10.0.0.6","DNS","163","","","0x00","","Standard query response 0x11c0 HTTPS optimizationguide-pa.googleapis.com SOA ns1.google.com OPT"
"14","2.483526255","10.0.0.138","10.0.0.6","DNS","458","","","0x00","","Standard query response 0x2b4e A yahoo.com A 98.137.11.163 A 74.6.231.20 A 74.6.143.25 A 74.6.143.26 A 74.6.231.21 A 98.137.11.164 NS ns5.yahoo.com NS ns4.yahoo.com NS ns3.yahoo.com NS ns2.yahoo.com NS ns1.yahoo.com A 68.180.131.16 A 68.142.255.16 A 27.123.42.42 A 98.138.11.157 A 202.165.97.53 AAAA 2001:4998:1b0::7961:686f:6f21 AAAA 2001:4998:1c0::7961:686f:6f21 AAAA 2406:8600:f03f:1f8::1003 AAAA 2406:2000:1d0::7961:686f:6f21 OPT"
"15","2.484430186","10.0.0.6","142.250.75.170","QUIC","1292","","","0x00","","Initial, DCID=8c0c9991806b4cc6, PKN: 1, CRYPTO"
"16","2.485953209","10.0.0.6","142.250.75.170","QUIC","1292","","","0x00","","Initial, DCID=8c0c9991806b4cc6, PKN: 2, CRYPTO"
"17","2.486186212","10.0.0.6","142.250.75.170","QUIC","1292","","","0x00","","Initial, DCID=8c0c9991806b4cc6, PKN: 3, PADDING, PING, PING, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO, PADDING"
"18","2.492429528","10.0.0.6","142.250.75.170","QUIC","123","","","0x00","","0-RTT, DCID=8c0c9991806b4cc6"
"19","2.493624296","142.250.75.170","10.0.0.6","QUIC","82","","","0x80","","Initial, SCID=ec0c9991806b4cc6, PKN: 1, ACK"
"20","2.494001042","142.250.75.170","10.0.0.6","QUIC","82","","","0x80","","Initial, SCID=ec0c9991806b4cc6, PKN: 2, ACK"
"21","2.496386801","10.0.0.6","95.100.206.56","TCP","66","0x011","610","0x00","","42778  >  443 [FIN, ACK] Seq=1 Ack=1 Win=610 Len=0 TSval=1422926088 TSecr=789764604"
"22","2.496575635","142.250.75.170","10.0.0.6","QUIC","1292","","","0x80","","Initial, SCID=ec0c9991806b4cc6, PKN: 3, ACK, PADDING"
"23","2.496677653","10.0.0.6","98.137.11.163","TCP","74","0x002","64240","0x00","","56160  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=196002142 TSecr=0 WS=128"
"24","2.497420582","10.0.0.6","98.137.11.163","TCP","74","0x002","64240","0x00","","56172  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=196002143 TSecr=0 WS=128"
"25","2.499551867","142.250.75.170","10.0.0.6","QUIC","1292","","","0x80","","Initial, SCID=ec0c9991806b4cc6, PKN: 4, ACK, PADDING"
"26","2.505153724","10.0.0.6","142.250.75.170","QUIC","1292","","","0x00","","Initial, DCID=ec0c9991806b4cc6, PKN: 6, PADDING, PING, PADDING"
"27","2.509803428","95.100.206.56","10.0.0.6","TCP","66","0x010","501","0x00","","443  >  42778 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=789783233 TSecr=1422926088"
"28","2.516010263","142.250.75.170","10.0.0.6","QUIC","1292","","","0x80","","Initial, SCID=ec0c9991806b4cc6, PKN: 5, ACK, PADDING"
"29","2.532880666","10.0.0.6","142.250.75.170","QUIC","1292","","","0x00","","Initial, DCID=ec0c9991806b4cc6, PKN: 8, PADDING, PING, PADDING"
"30","2.544407299","142.250.75.170","10.0.0.6","QUIC","1292","","","0x80","","Initial, SCID=ec0c9991806b4cc6, PKN: 6, ACK, PADDING"
"31","2.551644634","142.250.75.170","10.0.0.6","QUIC","1292","","","0x80","","Initial, SCID=ec0c9991806b4cc6, PKN: 7, CRYPTO, PADDING"
"32","2.552278536","142.250.75.170","10.0.0.6","QUIC","346","","","0x80","","Protected Payload (KP0)"
"33","2.553079323","10.0.0.6","142.250.75.170","QUIC","1292","","","0x00","","Handshake, DCID=ec0c9991806b4cc6"
"34","2.553426781","10.0.0.6","142.250.75.170","QUIC","568","","","0x00","","Protected Payload (KP0), DCID=ec0c9991806b4cc6"
"35","2.554041704","142.250.75.170","10.0.0.6","QUIC","988","","","0x80","","Protected Payload (KP0)"
"36","2.554392608","142.250.75.170","10.0.0.6","QUIC","103","","","0x80","","Protected Payload (KP0)"
"37","2.554489065","10.0.0.6","142.250.75.170","QUIC","74","","","0x00","","Protected Payload (KP0), DCID=ec0c9991806b4cc6"
"38","2.557800288","142.250.75.170","10.0.0.6","QUIC","66","","","0x80","","Protected Payload (KP0)"
"39","2.559002237","10.0.0.138","10.0.0.6","DNS","141","","","0x00","","Standard query response 0x4c08 HTTPS yahoo.com SOA ns1.yahoo.com OPT"
"40","2.568353490","142.250.75.170","10.0.0.6","QUIC","162","","","0x80","","Protected Payload (KP0)"
"41","2.569044318","142.250.75.170","10.0.0.6","QUIC","71","","","0x80","","Protected Payload (KP0)"
"42","2.569239076","10.0.0.6","142.250.75.170","QUIC","73","","","0x00","","Protected Payload (KP0), DCID=ec0c9991806b4cc6"
"43","2.749266539","10.0.0.6","98.137.11.163","TCP","74","0x002","64240","0x00","","56182  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=196002394 TSecr=0 WS=128"
"44","2.776564892","142.250.75.170","10.0.0.6","QUIC","410","","","0x80","","Protected Payload (KP0)"
