"No.","Time","Source","Destination","Protocol","Length","Flags","Window","Differentiated Services Field","Version","Info"
"1","0.000000000","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 169.254.170.91? Tell 10.0.0.138"
"2","0.059415281","10.0.0.6","239.255.255.250","SSDP","215","","","0x00","","M-SEARCH * HTTP/1.1 "
"3","0.059816014","10.0.0.6","239.255.255.250","SSDP","215","","","0x00","","M-SEARCH * HTTP/1.1 "
"4","0.064130133","10.0.0.3","10.0.0.6","UDP","540","","","0x00","","45055  >  41807 Len=498"
"5","0.064130302","10.0.0.4","10.0.0.6","UDP","540","","","0x00","","48602  >  41807 Len=498"
"6","0.064835769","10.0.0.9","10.0.0.6","UDP","540","","","0x00","","48920  >  41807 Len=498"
"7","0.065927892","10.0.0.5","10.0.0.6","UDP","540","","","0x00","","33703  >  41807 Len=498"
"8","0.101979239","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 10.0.0.6? Tell 10.0.0.138"
"9","0.102005823","VMware_fb:1e:36","HeightsTelec_bb:60:dc","ARP","42","","","","","10.0.0.6 is at 00:0c:29:fb:1e:36"
"10","0.203997999","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 10.0.0.2? Tell 10.0.0.138"
"11","0.211235191","10.0.0.138","10.0.0.6","NBNS","92","","","0x00","","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"12","0.211288717","10.0.0.6","10.0.0.138","ICMP","120","","","0xc0,0x00","","Destination unreachable (Port unreachable)"
"13","0.306390960","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 10.0.0.17? Tell 10.0.0.138"
"14","0.408938462","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 10.0.0.18? Tell 10.0.0.138"
"15","0.510911143","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 10.0.0.28? Tell 10.0.0.138"
"16","0.514360526","10.0.0.6","199.232.82.251","TCP","66","0x010","524","0x00","","43082  >  443 [ACK] Seq=1 Ack=1 Win=524 Len=0 TSval=2531587729 TSecr=3809378097"
"17","0.514957579","10.0.0.6","199.232.82.248","TCP","66","0x010","589","0x00","","57406  >  443 [ACK] Seq=1 Ack=1 Win=589 Len=0 TSval=3076752697 TSecr=3895575589"
"18","0.515248248","10.0.0.6","142.250.75.35","TCP","66","0x010","3144","0x00","","33390  >  443 [ACK] Seq=1 Ack=1 Win=3144 Len=0 TSval=1246247602 TSecr=3633100384"
"19","0.515370133","10.0.0.6","35.186.224.24","TCP","66","0x010","646","0x00","","47198  >  443 [ACK] Seq=1 Ack=1 Win=646 Len=0 TSval=2985922412 TSecr=3926271139"
"20","0.515411218","10.0.0.6","35.186.224.24","TCP","66","0x010","501","0x00","","47192  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2985922412 TSecr=146538253"
"21","0.515440952","10.0.0.6","199.232.82.248","TCP","66","0x010","524","0x00","","57400  >  443 [ACK] Seq=1 Ack=1 Win=524 Len=0 TSval=3076752698 TSecr=4009587277"
"22","0.515470486","10.0.0.6","35.186.224.24","TCP","66","0x010","501","0x00","","47188  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2985922412 TSecr=2195127670"
"23","0.515500096","10.0.0.6","199.232.82.251","TCP","66","0x010","714","0x00","","43080  >  443 [ACK] Seq=1 Ack=1 Win=714 Len=0 TSval=2531587730 TSecr=3453614557"
"24","0.515527058","10.0.0.6","199.232.82.251","TCP","66","0x010","20626","0x00","","43038  >  443 [ACK] Seq=1 Ack=1 Win=20626 Len=0 TSval=2531587730 TSecr=4071370"
"25","0.515555067","10.0.0.6","35.186.224.24","TCP","66","0x010","589","0x00","","47174  >  443 [ACK] Seq=1 Ack=1 Win=589 Len=0 TSval=2985922412 TSecr=3269077090"
"26","0.515584133","10.0.0.6","35.186.224.26","TCP","66","0x010","654","0x00","","34296  >  443 [ACK] Seq=1 Ack=1 Win=654 Len=0 TSval=2124422156 TSecr=455392411"
"27","0.515613491","10.0.0.6","35.186.224.24","TCP","66","0x010","590","0x00","","47168  >  443 [ACK] Seq=1 Ack=1 Win=590 Len=0 TSval=2985922412 TSecr=2126821177"
"28","0.515640963","10.0.0.6","35.186.224.41","TCP","66","0x010","501","0x00","","44532  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3989791815 TSecr=3931210337"
"29","0.515670290","10.0.0.6","142.250.75.110","TCP","66","0x010","1531","0x00","","47580  >  443 [ACK] Seq=1 Ack=1 Win=1531 Len=0 TSval=3760338495 TSecr=2438101058"
