"No.","Time","Source","Destination","Protocol","Length","Flags","Window","Differentiated Services Field","Version","Info"
"1","0.000000000","10.0.0.6","141.226.228.48","TLSv1.2","210","0x018","575","0x00","TLS 1.2","Application Data"
"2","0.000300546","10.0.0.6","141.226.228.48","TLSv1.2","1326","0x018","575","0x00","TLS 1.2","Application Data"
"3","0.005945748","35.167.59.240","10.0.0.6","TLSv1.2","112","0x018","245","0x00","TLS 1.2","Application Data"
"4","0.005945989","35.167.59.240","10.0.0.6","TLSv1.2","97","0x018","245","0x00","TLS 1.2","Encrypted Alert"
"5","0.005946025","35.167.59.240","10.0.0.6","TCP","66","0x011","245","0x00","","443  >  49476 [FIN, ACK] Seq=78 Ack=1 Win=245 Len=0 TSval=4030338683 TSecr=3968503380"
"6","0.005978884","10.0.0.6","35.167.59.240","TCP","66","0x010","630","0x00","","49476  >  443 [ACK] Seq=1 Ack=47 Win=630 Len=0 TSval=3968563576 TSecr=4030338683"
"7","0.006144217","10.0.0.6","35.167.59.240","TCP","66","0x014","630","0x00","","49476  >  443 [RST, ACK] Seq=1 Ack=79 Win=630 Len=0 TSval=3968563576 TSecr=4030338683"
"8","0.130232925","10.0.0.6","80.77.87.162","TCP","74","0x002","64240","0x00","","55750  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1414936307 TSecr=0 WS=128"
"9","0.140436341","141.226.228.48","10.0.0.6","TLSv1.2","96","0x018","161","0x48","TLS 1.2","Application Data"
"10","0.140436704","141.226.228.48","10.0.0.6","TLSv1.2","636","0x018","167","0x48","TLS 1.2","Application Data"
"11","0.140504134","10.0.0.6","141.226.228.48","TCP","54","0x010","575","0x00","","40254  >  443 [ACK] Seq=1429 Ack=43 Win=575 Len=0"
"12","0.140658346","10.0.0.6","141.226.228.48","TCP","54","0x010","571","0x00","","40254  >  443 [ACK] Seq=1429 Ack=625 Win=571 Len=0"
"13","0.149865172","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 10.0.0.18? Tell 10.0.0.138"
"14","0.251846038","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 10.0.0.28? Tell 10.0.0.138"
"15","0.881467935","69.173.156.139","10.0.0.6","TLSv1.2","105","0x018","51148","0x00","TLS 1.2","Application Data"
"16","0.882198101","10.0.0.6","69.173.156.139","TCP","66","0x011","501","0x00","","57202  >  443 [FIN, ACK] Seq=1 Ack=40 Win=501 Len=0 TSval=1398020196 TSecr=2757366565"
"17","0.971903180","69.173.156.139","10.0.0.6","TCP","66","0x011","51148","0x00","","443  >  57202 [FIN, ACK] Seq=40 Ack=2 Win=51148 Len=0 TSval=2757366602 TSecr=1398020196"
"18","0.971929992","10.0.0.6","69.173.156.139","TCP","66","0x010","501","0x00","","57202  >  443 [ACK] Seq=2 Ack=41 Win=501 Len=0 TSval=1398020286 TSecr=2757366602"
"19","1.071295227","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 10.0.0.1? Tell 10.0.0.138"
"20","1.174619067","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 10.0.0.13? Tell 10.0.0.138"
"21","1.379446732","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 10.0.0.19? Tell 10.0.0.138"
"22","1.481978070","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 10.0.0.13? Tell 10.0.0.138"
"23","1.584509654","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 10.0.0.28? Tell 10.0.0.138"
"24","1.688725699","18.138.29.221","10.0.0.6","TLSv1.2","112","0x018","128","0x00","TLS 1.2","Application Data"
"25","1.688726941","18.138.29.221","10.0.0.6","TLSv1.2","97","0x018","128","0x00","TLS 1.2","Encrypted Alert"
"26","1.688726968","18.138.29.221","10.0.0.6","TCP","66","0x011","128","0x00","","443  >  60524 [FIN, ACK] Seq=78 Ack=1 Win=128 Len=0 TSval=1724605360 TSecr=1151510578"
"27","1.729449483","10.0.0.6","18.138.29.221","TCP","66","0x010","591","0x00","","60524  >  443 [ACK] Seq=1 Ack=79 Win=591 Len=0 TSval=1151570729 TSecr=1724605360"
"28","1.738793389","18.138.29.221","10.0.0.6","TLSv1.2","112","0x018","189","0x00","TLS 1.2","Application Data"
"29","1.738793941","18.138.29.221","10.0.0.6","TLSv1.2","97","0x018","189","0x00","TLS 1.2","Encrypted Alert"
"30","1.738794011","18.138.29.221","10.0.0.6","TCP","66","0x011","189","0x00","","443  >  60512 [FIN, ACK] Seq=78 Ack=1 Win=189 Len=0 TSval=1724605512 TSecr=1151510343"
"31","1.739102820","10.0.0.6","18.138.29.221","TCP","66","0x010","613","0x00","","60512  >  443 [ACK] Seq=1 Ack=79 Win=613 Len=0 TSval=1151570738 TSecr=1724605512"
"32","1.739660097","10.0.0.6","18.138.29.221","TCP","66","0x011","613","0x00","","60512  >  443 [FIN, ACK] Seq=1 Ack=79 Win=613 Len=0 TSval=1151570739 TSecr=1724605512"
"33","1.788457869","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 169.254.170.91? Tell 10.0.0.138"
"34","1.841236264","10.0.0.6","98.137.11.163","TCP","66","0x010","627","0x00","","56160  >  443 [ACK] Seq=1 Ack=1 Win=627 Len=0 TSval=196094621 TSecr=2920831225"
"35","1.890856456","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 10.0.0.6? Tell 10.0.0.138"
"36","1.890882654","VMware_fb:1e:36","HeightsTelec_bb:60:dc","ARP","42","","","","","10.0.0.6 is at 00:0c:29:fb:1e:36"
"37","1.993899334","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 10.0.0.2? Tell 10.0.0.138"
"38","2.003899182","10.0.0.138","10.0.0.6","NBNS","92","","","0x00","","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"39","2.003953560","10.0.0.6","10.0.0.138","ICMP","120","","","0xc0,0x00","","Destination unreachable (Port unreachable)"
"40","2.100578375","98.137.11.163","10.0.0.6","TCP","66","0x010","294","0x00","","[TCP ACKed unseen segment] 443  >  56160 [ACK] Seq=1 Ack=2 Win=294 Len=0 TSval=2920876461 TSecr=196003018"
"41","2.118838661","10.0.0.6","87.248.116.12","TLSv1.2","1290","0x018","18939","0x00","TLS 1.2","Application Data"
"42","2.119122219","10.0.0.6","10.0.0.138","DNS","91","","","0x00","","Standard query 0xdafd A bats.video.yahoo.com OPT"
"43","2.119125922","10.0.0.6","10.0.0.138","DNS","91","","","0x00","","Standard query 0xf4cf HTTPS bats.video.yahoo.com OPT"
"44","2.119326152","10.0.0.6","87.248.116.12","TLSv1.2","105","0x018","18939","0x00","TLS 1.2","Application Data"
"45","2.123659095","18.138.29.221","10.0.0.6","TCP","66","0x010","189","0x00","","443  >  60512 [ACK] Seq=79 Ack=2 Win=189 Len=0 TSval=1724605906 TSecr=1151570739"
"46","2.127705686","10.0.0.6","10.0.0.138","DNS","106","","","0x00","","Standard query 0x368a HTTPS optimizationguide-pa.googleapis.com OPT"
"47","2.133010857","10.0.0.6","10.0.0.138","DNS","86","","","0x00","","Standard query 0x9797 A www.youtube.com OPT"
"48","2.133418880","10.0.0.6","10.0.0.138","DNS","86","","","0x00","","Standard query 0xae0b HTTPS www.youtube.com OPT"
"49","2.136876450","10.0.0.6","142.250.75.74","QUIC","1292","","","0x00","","Initial, DCID=eb0c6237ae7da0eb, PKN: 1, CRYPTO"
"50","2.137115942","10.0.0.6","142.250.75.74","QUIC","1292","","","0x00","","Initial, DCID=eb0c6237ae7da0eb, PKN: 2, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING"
"51","2.137957448","10.0.0.6","142.250.75.74","QUIC","123","","","0x00","","0-RTT, DCID=eb0c6237ae7da0eb"
"52","2.138850536","10.0.0.6","188.125.72.139","TLSv1.2","1154","0x018","690","0x00","TLS 1.2","Application Data"
"53","2.140006404","10.0.0.6","188.125.72.139","TLSv1.2","105","0x018","690","0x00","TLS 1.2","Application Data"
"54","2.140165129","10.0.0.6","188.125.72.139","TLSv1.2","1185","0x018","690","0x00","TLS 1.2","Application Data"
"55","2.144909751","142.250.75.74","10.0.0.6","QUIC","82","","","0x80","","Initial, SCID=eb0c6237ae7da0eb, PKN: 1, ACK"
"56","2.146286773","142.250.75.74","10.0.0.6","QUIC","1292","","","0x80","","Initial, SCID=eb0c6237ae7da0eb, PKN: 2, ACK, PADDING"
"57","2.146939666","10.0.0.138","10.0.0.6","DNS","162","","","0x00","","Standard query response 0xdafd A bats.video.yahoo.com CNAME edge.gycpi.b.yahoodns.net A 87.248.116.12 A 87.248.116.11 OPT"
"58","2.150495564","10.0.0.6","188.125.72.139","TLSv1.2","522","0x018","690","0x00","TLS 1.2","Application Data"
"59","2.151042401","10.0.0.138","10.0.0.6","DNS","202","","","0x00","","Standard query response 0xf4cf HTTPS bats.video.yahoo.com CNAME edge.gycpi.b.yahoodns.net SOA yf1.a1.b.yahoo.net OPT"
